Introduction to computing,2,COM 101
Introduction to Digital Electronics,2,COM 112
Introduction to Programming,3,COM 113
Descriptive Statistics I,3,STA 111
Elementary Probability Theory,3,STA 112
Logic and Linear Algebra ,3,MTH 111
Functions and Geometry,3,MTH 112
Technical English I,4,GNS 101
Citizenship Education I,2,GNS 111
Use of Library,2,GNS 118
Scientific Programming Language Using OO Java.,,COM 121
Introduction to the Internet,2,COM 122
Computer Application Packages I,2,COM 123
Data Structure and Algorithm,3,COM 124
Introduction to System Analysis,3,COM 125
PC Upgrade and Maintenance,3,COM 126
Citizenship Education II,2,GNS 128
Introduction to Operating System,3,COM 128
Computer Programming Using OO BASIC,3,COM 211
Introduction to System Programming,2,COM 212
File Organization and Management,3,COM 214
Computer Packages II,2,COM 215
Computer System Troubleshooting I,2,COM 216
Technical English II,2,COM 217
Introduction to Database,3,COM 218
Computer Programming Using OO FORTRAN,3,COM 211
Seminar on Computer and Society,2,COM 222
Basic Hardware Maintenance,3,COM 223
Management Information System,3,COM 224
Computer System Troubleshooting II,2,COM 226
Project,4,COM 229
Small Business Start Up,2,STA 226
